Value.CombinedEyesConvergenceDistance,Value.CombinedEyesConvergenceDistanceValidity,Value.CombinedEyesGazeDirectionNormalized.x,Value.CombinedEyesGazeDirectionNormalized.y,Value.CombinedEyesGazeDirectionNormalized.z,Value.CombinedEyesGazeOrigin.x,Value.CombinedEyesGazeOrigin.y,Value.CombinedEyesGazeOrigin.z,Value.CombinedEyesOpenness,Value.CombinedEyesPupilDiameter,Value.CombinedEyesPupilPositionInSensorArea.x,Value.CombinedEyesPupilPositionInSensorArea.y,Value.LeftEyeGazeDirectionNormalized.x,Value.LeftEyeGazeDirectionNormalized.y,Value.LeftEyeGazeDirectionNormalized.z,Value.LeftEyeGazeOrigin.x,Value.LeftEyeGazeOrigin.y,Value.LeftEyeGazeOrigin.z,Value.LeftEyeOpenness,Value.LeftEyePupilDiameter,Value.LeftEyePupilPositionInSensorArea.x,Value.LeftEyePupilPositionInSensorArea.y,Value.RightEyeGazeDirectionNormalized.x,Value.RightEyeGazeDirectionNormalized.y,Value.RightEyeGazeDirectionNormalized.z,Value.RightEyeGazeOrigin.x,Value.RightEyeGazeOrigin.y,Value.RightEyeGazeOrigin.z,Value.RightEyeOpenness,Value.RightEyePupilDiameter,Value.RightEyePupilPositionInSensorArea.x,Value.RightEyePupilPositionInSensorArea.y,Value.Time
0,FALSE,0.063064575,0.034439087,0.997406006,-9.564437866,0.17880249,-35.13659668,0,0,0,0,0.062591553,0.027404785,0.997650146,32.57684326,0.620346069,-34.96051025,1,4.413742065,0.520310044,0.60149467,0.063278198,0.037658691,0.997283936,-28.82377625,-0.022964478,-35.21705627,1,4.432235718,0.428624064,0.626858056,12095
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,32.79650879,-1.227432251,-35.25776672,0.510026336,-1,0.507294178,0.729146898,0,0,0,-28.01554871,-1.648071289,-35.38446045,0.633801758,-1,0.376070827,0.763027787,12255
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,32.79650879,-1.227432251,-35.25776672,0.510026336,-1,0.507294178,0.729146898,0,0,0,-28.01554871,-1.648071289,-35.38446045,0.633801758,-1,0.376070827,0.763027787,12281
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,1,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,1,-1,-1,-1,20209
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,1,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,1,-1,-1,-1,20214
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,1,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,1,-1,-1,-1,20214
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,1,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,1,-1,-1,-1,20214
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,1,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,1,-1,-1,-1,20221
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,1,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,1,-1,-1,-1,20221
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,0,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,0,-1,-1,-1,20275
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,0,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,0,-1,-1,-1,20280
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,0,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,0,-1,-1,-1,20280
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,0,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,0,-1,-1,-1,20280
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,0,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,0,-1,-1,-1,20281
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,0,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,0,-1,-1,-1,20281
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,0,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,0,-1,-1,-1,20293
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,0,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,0,-1,-1,-1,20298
0,FALSE,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,30.81370544,-2.514678955,-36.848526,0,-1,-1,-1,0,0,0,-30.50485229,-4.354019165,-39.35159302,0,-1,-1,-1,20307
0,FALSE,0.080718994,0.143569946,0.986328125,30.92973328,-5.774047852,-37.64474487,0,0,0,0,0.080718994,0.143569946,0.986328125,30.92973328,-5.774047852,-37.64474487,0,3.823425293,0.579884529,0.857173979,0,0,0,-30.50485229,-4.354019165,-39.35159302,0,-1,-1,-1,20319
0,FALSE,0.080718994,0.143569946,0.986328125,30.92973328,-5.774047852,-37.64474487,0,0,0,0,0.080718994,0.143569946,0.986328125,30.92973328,-5.774047852,-37.64474487,0,3.823425293,0.579884529,0.857173979,0,0,0,-30.50485229,-4.354019165,-39.35159302,0,-1,-1,-1,20363
0,FALSE,0.103256226,0.148834229,0.983444214,33.52285767,-2.760681152,-37.92576599,0,0,0,0,0.103256226,0.148834229,0.983444214,33.52311707,-2.760681152,-37.92576599,0,3.8412323,0.478761554,0.738475621,0.197433472,0.168991089,0.965621948,-27.1844635,-4.935974121,-35.82937622,0,4.387481689,0.343698889,0.800960004,20368
0,FALSE,0.103256226,0.148834229,0.983444214,33.52285767,-2.760681152,-37.92576599,0,0,0,0,0.103256226,0.148834229,0.983444214,33.52311707,-2.760681152,-37.92576599,0,3.8412323,0.478761554,0.738475621,0.197433472,0.168991089,0.965621948,-27.1844635,-4.935974121,-35.82937622,0,4.387481689,0.343698889,0.800960004,20373
0,FALSE,0.103256226,0.148834229,0.983444214,33.52285767,-2.760681152,-37.92576599,0,0,0,0,0.103256226,0.148834229,0.983444214,33.52311707,-2.760681152,-37.92576599,0,3.8412323,0.478761554,0.738475621,0.197433472,0.168991089,0.965621948,-27.1844635,-4.935974121,-35.82937622,0,4.387481689,0.343698889,0.800960004,20373
0,FALSE,0.103256226,0.148834229,0.983444214,33.52285767,-2.760681152,-37.92576599,0,0,0,0,0.103256226,0.148834229,0.983444214,33.52311707,-2.760681152,-37.92576599,0,3.8412323,0.478761554,0.738475621,0.197433472,0.168991089,0.965621948,-27.1844635,-4.935974121,-35.82937622,0,4.387481689,0.343698889,0.800960004,20373
0,FALSE,0.103256226,0.148834229,0.983444214,33.52285767,-2.760681152,-37.92576599,0,0,0,0,0.103256226,0.148834229,0.983444214,33.52311707,-2.760681152,-37.92576599,0,3.8412323,0.478761554,0.738475621,0.197433472,0.168991089,0.965621948,-27.1844635,-4.935974121,-35.82937622,0,4.387481689,0.343698889,0.800960004,20374
0,FALSE,0.103256226,0.148834229,0.983444214,33.52285767,-2.760681152,-37.92576599,0,0,0,0,0.103256226,0.148834229,0.983444214,33.52311707,-2.760681152,-37.92576599,0,3.8412323,0.478761554,0.738475621,0.197433472,0.168991089,0.965621948,-27.1844635,-4.935974121,-35.82937622,0,4.387481689,0.343698889,0.800960004,20374
0,FALSE,0.011886597,0.106460571,0.994232178,33.08624268,-3.291625977,-37.85871887,0,0,0,0,0.011886597,0.106460571,0.994232178,33.08627319,-3.291625977,-37.85871887,0,3.893920898,0.509365618,0.765115678,0.06640625,0.171905518,0.98286438,-27.57646179,-5.502960205,-35.4581604,0,4.248153687,0.37951237,0.816320062,20379
0,FALSE,0.011886597,0.106460571,0.994232178,33.08624268,-3.291625977,-37.85871887,0,0,0,0,0.011886597,0.106460571,0.994232178,33.08627319,-3.291625977,-37.85871887,0,3.893920898,0.509365618,0.765115678,0.06640625,0.171905518,0.98286438,-27.57646179,-5.502960205,-35.4581604,0,4.248153687,0.37951237,0.816320062,20386
0,FALSE,-0.017959595,0.14680481,0.988998413,32.76748657,-3.712692261,-37.59144592,0,0,0,0,-0.017974854,0.14680481,0.988998413,32.77542114,-3.712478638,-37.59156799,0,3.917297363,0.525645316,0.7716887,0.004898071,0.155273438,0.987854004,-27.83442688,-5.268386841,-36.65150452,0,4.281402588,0.397637874,0.825492799,20391
0,FALSE,-0.073944092,0.090682983,0.993118286,32.69734192,-4.172744751,-36.70924377,0,0,0,0,-0.073944092,0.090682983,0.993118286,32.69734192,-4.172744751,-36.70924377,0,4.014266968,0.537053883,0.788037717,-0.003433228,0.075698853,0.997116089,-28.02526855,-4.993255615,-37.34237671,0,4.229278564,0.405362695,0.836896718,20402
0,FALSE,-0.046035767,0.090957642,0.994781494,32.52813721,-3.928604126,-37.91029358,0,0,0,0,-0.046112061,0.090942383,0.994781494,32.59794617,-3.92616272,-37.91278076,0,3.930648804,0.536828339,0.793672383,0.02281189,0.096389771,0.995071411,-28.03834534,-6.046066284,-35.74430847,0,4.274459839,0.402510822,0.855044484,20413
0,FALSE,-0.046035767,0.090957642,0.994781494,32.52813721,-3.928604126,-37.91029358,0,0,0,0,-0.046112061,0.090942383,0.994781494,32.59794617,-3.92616272,-37.91278076,0,3.930648804,0.536828339,0.793672383,0.02281189,0.096389771,0.995071411,-28.03834534,-6.046066284,-35.74430847,0,4.274459839,0.402510822,0.855044484,20418
0,FALSE,-0.04876709,0.124221802,0.991043091,32.48796082,-4.300018311,-37.38949585,0,0,0,0,-0.048797607,0.124237061,0.991043091,32.50505066,-4.299682617,-37.38951111,0,4.033782959,0.540442228,0.796332598,0.010925293,0.057296753,0.998291016,-28.15771484,-5.4659729,-37.36817932,0,4.142364502,0.407451779,0.860423505,20423
0,FALSE,-0.040115356,0.112930298,0.992782593,32.22903442,-4.545898438,-36.83972168,0,0,0,0,-0.040267944,0.112915039,0.992782593,32.41772461,-4.540634155,-36.8427887,0,4.019943237,0.542127252,0.800545275,0.008102417,0.119232178,0.992828369,-28.23278809,-6.23500061,-35.85868835,0,4.24079895,0.412047744,0.860389113,20434
0,FALSE,-0.045654297,0.115768433,0.992218018,12.41030884,-5.393936157,-35.96664429,0,0,0,0,-0.060470581,0.10369873,0.992767334,32.27986145,-4.836029053,-35.93164063,0.773375154,4.047225952,0.550057828,0.80198729,-0.015197754,0.140411377,0.989959717,-28.38400269,-6.539382935,-36.03848267,0.7444278,4.144515991,0.421079248,0.871945024,20449
0,FALSE,-0.05039978,0.088806152,0.994766235,6.720397949,-5.385879517,-36.26856995,0,0,0,0,-0.067779541,0.091583252,0.993484497,32.18733215,-4.899291992,-35.7326355,0.757683635,3.985748291,0.554628849,0.803816736,-0.026306152,0.08493042,0.996032715,-28.52531433,-6.059310913,-37.01028442,0.757094443,4.034698486,0.427550554,0.875002146,20466
0,FALSE,-0.015655518,0.085372925,0.99621582,-28.66998291,-6.06652832,-37.27337646,0,0,0,0,-0.083129883,0.093917847,0.992095947,32.04927063,-5.35798645,-34.44047546,0.758972704,4.067276001,0.561382174,0.804873824,-0.015625,0.085372925,0.99621582,-28.69734192,-6.066848755,-37.2746582,0.738821983,4.008407593,0.43225655,0.879072011,20470
0,FALSE,-0.015655518,0.085372925,0.99621582,-28.66998291,-6.06652832,-37.27337646,0,0,0,0,-0.083129883,0.093917847,0.992095947,32.04927063,-5.35798645,-34.44047546,0.758972704,4.067276001,0.561382174,0.804873824,-0.015625,0.085372925,0.99621582,-28.69734192,-6.066848755,-37.2746582,0.738821983,4.008407593,0.43225655,0.879072011,20476
0,FALSE,-0.015655518,0.085372925,0.99621582,-28.66998291,-6.06652832,-37.27337646,0,0,0,0,-0.083129883,0.093917847,0.992095947,32.04927063,-5.35798645,-34.44047546,0.758972704,4.067276001,0.561382174,0.804873824,-0.015625,0.085372925,0.99621582,-28.69734192,-6.066848755,-37.2746582,0.738821983,4.008407593,0.43225655,0.879072011,20477
0,FALSE,-0.007965088,0.080947876,0.996673584,-28.72854614,-6.697097778,-35.95246887,0,0,0,0,-0.095657349,0.086669922,0.991622925,31.99359131,-5.171981812,-34.89578247,0.768182695,4.023880005,0.565732956,0.804761052,-0.007965088,0.080947876,0.996673584,-28.72862244,-6.697097778,-35.95246887,0.742838681,3.948959351,0.432826698,0.887093902,20492
0,FALSE,-0.020187378,-0.034133911,0.999206543,-28.79188538,-7.080169678,-35.48730469,0,0,0,0,-0.086334229,0.08807373,0.992355347,31.89945984,-5.391036987,-34.45419312,0.773242116,4.042678833,0.567452013,0.807372272,-0.020187378,-0.034133911,0.999206543,-28.79251099,-7.080200195,-35.48731995,0.743286431,3.698562622,0.436590612,0.918049872,20499
0,FALSE,-0.020187378,-0.034133911,0.999206543,-28.79188538,-7.080169678,-35.48730469,0,0,0,0,-0.086334229,0.08807373,0.992355347,31.89945984,-5.391036987,-34.45419312,0.773242116,4.042678833,0.567452013,0.807372272,-0.020187378,-0.034133911,0.999206543,-28.79251099,-7.080200195,-35.48731995,0.743286431,3.698562622,0.436590612,0.918049872,20505
0,FALSE,-0.010513306,0.05847168,0.99822998,-28.8421936,-6.746871948,-36.39988708,0,0,0,0,-0.083877563,0.080871582,0.993179321,31.87805176,-5.314880371,-34.67524719,0.773242116,3.984420776,0.568056822,0.808335423,-0.010513306,0.05847168,0.99822998,-28.84234619,-6.746887207,-36.39988708,0.743286431,4.115356445,0.437043041,0.901489735,20512
0,FALSE,-0.003204346,-0.010482788,0.999938965,-26.68736267,-6.70173645,-36.37272644,0,0,0,0,-0.081573486,0.084106445,0.993103027,31.88414001,-5.285110474,-34.62796021,0.766596317,3.987503052,0.56741637,0.806008518,-0.000320435,-0.013961792,0.999893188,-28.84350586,-6.753875732,-36.43695068,0.71863544,3.75604248,0.434932798,0.914911032,20524
0,FALSE,-0.003204346,-0.010482788,0.999938965,-26.68736267,-6.70173645,-36.37272644,0,0,0,0,-0.081573486,0.084106445,0.993103027,31.88414001,-5.285110474,-34.62796021,0.766596317,3.987503052,0.56741637,0.806008518,-0.000320435,-0.013961792,0.999893188,-28.84350586,-6.753875732,-36.43695068,0.71863544,3.75604248,0.434932798,0.914911032,20531
0,FALSE,0.000595093,0.04234314,0.999099731,-25.09820557,-6.603683472,-36.29092407,0,0,0,0,-0.075790405,0.087112427,0.993301392,31.88902283,-4.732635498,-35.85598755,0.784385622,3.931152344,0.567097306,0.799745858,0.00553894,0.039428711,0.999191284,-28.7852478,-6.724746704,-36.31906128,0.740108311,4.028915405,0.432219774,0.902508259,20536
0,FALSE,0.003265381,0.072891235,0.997329712,-28.74133301,-6.716415405,-35.99813843,0,0,0,0,-0.060577393,0.092437744,0.993865967,31.97294617,-4.157287598,-37.00886536,0.900783718,3.750686646,0.562367022,0.790718973,0.003265381,0.072891235,0.997329712,-28.74842834,-6.716720581,-35.99801636,0.851952732,3.94694519,0.431685597,0.890208483,20547
0,FALSE,0.003265381,0.072891235,0.997329712,-28.74133301,-6.716415405,-35.99813843,0,0,0,0,-0.060577393,0.092437744,0.993865967,31.97294617,-4.157287598,-37.00886536,0.900783718,3.750686646,0.562367022,0.790718973,0.003265381,0.072891235,0.997329712,-28.74842834,-6.716720581,-35.99801636,0.851952732,3.94694519,0.431685597,0.890208483,20553
0,FALSE,-0.035827637,0.105636597,0.993743896,-28.71112061,-6.649047852,-35.98268127,0,0,0,0,-0.071456909,0.101669312,0.992233276,32.0131073,-4.270965576,-36.56428528,0.890953541,3.873245239,0.562220812,0.788219929,-0.035827637,0.105636597,0.993743896,-28.71112061,-6.649047852,-35.98268127,0.842085958,4.019622803,0.436740339,0.881143808,20558
0,FALSE,0.004364014,0.074691772,0.997192383,-28.67788696,-6.214584351,-36.7802124,0,0,0,0,-0.065200806,0.09854126,0.992980957,32.06544495,-4.439056396,-35.94819641,0.890953541,3.904022217,0.558887243,0.787346482,0.004364014,0.074691772,0.997192383,-28.67788696,-6.214584351,-36.7802124,0.842085958,3.901306152,0.428558439,0.879528582,20569
0,FALSE,-0.013626099,0.010543823,0.999847412,-28.59498596,-6.133178711,-36.38017273,0,0,0,0,-0.071136475,0.078018188,0.994400024,32.16235352,-4.319442749,-35.6686554,0.916155636,3.816955566,0.556175232,0.782303333,-0.013626099,0.010543823,0.999847412,-28.59498596,-6.133178711,-36.38017273,0.872083306,3.695480347,0.428389728,0.880706787,20579
0,FALSE,-0.013626099,0.010543823,0.999847412,-28.59498596,-6.133178711,-36.38017273,0,0,0,0,-0.071136475,0.078018188,0.994400024,32.16235352,-4.319442749,-35.6686554,0.916155636,3.816955566,0.556175232,0.782303333,-0.013626099,0.010543823,0.999847412,-28.59498596,-6.133178711,-36.38017273,0.872083306,3.695480347,0.428389728,0.880706787,20585
0,FALSE,-0.016769409,0.078933716,0.996734619,-28.56982422,-6.103225708,-36.26686096,0,0,0,0,-0.061904907,0.085662842,0.994384766,32.1892395,-4.203659058,-35.80807495,0.927159667,3.770629883,0.553832293,0.778209388,-0.016769409,0.078933716,0.996734619,-28.56987,-6.103240967,-36.26686096,0.860731304,3.924438477,0.428436399,0.866117537,20592
0,FALSE,0.009750366,0.141525269,0.989883423,-28.5196991,-6.573791504,-35.17448425,0,0,0,0,-0.063400269,0.089111328,0.993988037,32.20935059,-3.999023438,-36.21166992,0.928848505,3.660247803,0.553655803,0.77461189,0.009796143,0.141555786,0.989868164,-28.55131531,-6.575134277,-35.1739502,0.888829708,4.167510986,0.424469531,0.860177279,20603
0,FALSE,-0.036209106,0.108886719,0.993392944,1.754562378,-4.917068481,-36.52909851,0,0,0,0,-0.062789917,0.063461304,0.996002197,32.23199463,-3.342056274,-37.76904297,0.928848505,3.635818481,0.55352819,0.773096561,-0.00970459,0.153717041,0.988052368,-28.52496338,-6.4818573,-35.29721069,0.888829708,4.156829834,0.426549107,0.855840445,20614
0,FALSE,-0.036209106,0.108886719,0.993392944,1.754562378,-4.917068481,-36.52909851,0,0,0,0,-0.062789917,0.063461304,0.996002197,32.23199463,-3.342056274,-37.76904297,0.928848505,3.635818481,0.55352819,0.773096561,-0.00970459,0.153717041,0.988052368,-28.52496338,-6.4818573,-35.29721069,0.888829708,4.156829834,0.426549107,0.855840445,20620
0,FALSE,-0.015991211,0.146453857,0.989074707,-25.76387024,-6.306991577,-35.47148132,0,0,0,0,-0.059188843,0.066894531,0.995986938,32.2388916,-3.35319519,-37.73379517,0.929497659,3.633605957,0.552674055,0.772486866,-0.013931274,0.15020752,0.988540649,-28.52508545,-6.447616577,-35.36378479,0.883915663,4.06817627,0.427154511,0.855610251,20626
0,FALSE,-0.023666382,0.091796875,0.995483398,-20.61079407,-5.853897095,-35.90496826,0,0,0,0,-0.065765381,0.089813232,0.993774414,32.23919678,-4.068969727,-35.98446655,0.929475605,3.703338623,0.552769125,0.774423301,-0.017349243,0.092071533,0.99559021,-28.53747559,-6.12159729,-35.89303589,0.89575696,4.012649536,0.427709669,0.859369993,20638
0,FALSE,-0.023666382,0.091796875,0.995483398,-20.61079407,-5.853897095,-35.90496826,0,0,0,0,-0.065765381,0.089813232,0.993774414,32.23919678,-4.068969727,-35.98446655,0.929475605,3.703338623,0.552769125,0.774423301,-0.017349243,0.092071533,0.99559021,-28.53747559,-6.12159729,-35.89303589,0.89575696,4.012649536,0.427709669,0.859369993,20644
0,FALSE,-0.040557861,0.07069397,0.996658325,9.857894897,-4.707717896,-36.41818237,0,0,0,0,-0.062545776,0.077178955,0.995040894,32.23493958,-4.16569519,-35.92567444,0.914803445,3.629684448,0.552469194,0.779280543,-0.002716064,0.05947876,0.998214722,-28.59030151,-5.63899231,-37.26441956,0.895888984,3.836639404,0.426355511,0.864166796,20657
0,FALSE,-0.03086853,0.078735352,0.996414185,1.160766602,-5.220901489,-36.23608398,0,0,0,0,-0.067047119,0.086257935,0.994003296,32.19386292,-4.38331604,-35.70497131,0.914803445,3.785171509,0.554422677,0.783763885,0.003875732,0.071426392,0.997436523,-28.62138367,-6.024719238,-36.74580383,0.895888984,3.906677246,0.426689237,0.871258318,20664
0,FALSE,-0.03086853,0.078735352,0.996414185,1.160766602,-5.220901489,-36.23608398,0,0,0,0,-0.067047119,0.086257935,0.994003296,32.19386292,-4.38331604,-35.70497131,0.914803445,3.785171509,0.554422677,0.783763885,0.003875732,0.071426392,0.997436523,-28.62138367,-6.024719238,-36.74580383,0.895888984,3.906677246,0.426689237,0.871258318,20669
0,FALSE,-0.046264648,0.086044312,0.99520874,7.61869812,-5.248474121,-35.85221863,0,0,0,0,-0.065750122,0.099884033,0.99281311,32.15301514,-4.6224823,-35.42950439,0.930722535,3.836624146,0.555534959,0.787391841,-0.017410278,0.065505981,0.997695923,-28.6530304,-6.173950195,-36.47715759,0.876031697,3.858932495,0.431388021,0.874488831,20681
0,FALSE,0.010543823,0.111877441,0.993652344,-26.81143188,-6.853179932,-35.50003052,0,0,0,0,-0.049957275,0.110427856,0.992614746,32.03132629,-4.778274536,-35.62533569,0.89157474,3.777175903,0.557704628,0.794048786,0.012466431,0.111923218,0.993637085,-28.68437195,-6.919219971,-35.49604797,0.872822821,3.865478516,0.428210407,0.883962989,20694
0,FALSE,-0.051254272,0.083953857,0.995147705,29.722229,-4.943283081,-35.74609375,0,0,0,0,-0.052825928,0.084274292,0.995025635,32.02781677,-4.875198364,-35.71948242,0.888363063,3.66317749,0.558490276,0.803118527,-0.011230469,0.075500488,0.997070313,-28.72189331,-6.669296265,-36.42073059,0.868264675,3.915039063,0.432603061,0.894215643,20708
