Value.ElapsedTime,Value.PatientID,Value.PourHeight,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z,Value.Score,Value.TimeTask
0,Default,1.289999962,7/29/2022 15:54,,FALSE,92704cd1-8079-490a-ac1e-0bb1ed03fbef,EverydayTaskConfig,,,,,
1,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.295256793,-0.298251152,0.399148762,,
1,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.212894782,-0.312509716,0.393782556,,
109,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.295104504,-0.29820013,0.398861915,,
109,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.212748587,-0.312716514,0.393259734,,
191,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.294948161,-0.298038572,0.398587435,,
191,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.217616528,-0.308754236,0.398377329,,
272,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.294835329,-0.297992021,0.398546249,,
272,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.225143433,-0.301424056,0.405288428,,
355,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.294717044,-0.297878087,0.398428112,,
355,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.24348478,-0.283242285,0.415466726,,
438,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.294707566,-0.297833145,0.398640037,,
438,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.262480944,-0.277920127,0.418496102,,
521,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.298445344,-0.295223117,0.397589862,,
521,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.263469815,-0.314272851,0.427767903,,
605,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.304855347,-0.29238081,0.395662189,,
605,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.262431592,-0.290276498,0.415816158,,
689,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.312786162,-0.289236367,0.393503338,,
689,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.252267092,-0.298537731,0.411447555,,
771,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.316212863,-0.286559612,0.391459703,,
771,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.252442569,-0.29362306,0.40619275,,
856,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.317181319,-0.288368315,0.392464578,,
856,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.25065726,-0.297274023,0.405930787,,
939,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.324226648,-0.288109094,0.390963107,,
939,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.249730587,-0.300147206,0.40812394,,
1036,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.32684347,-0.291689873,0.395649493,,
1036,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.254155934,-0.298259914,0.40710324,,
1105,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.322785735,-0.295139551,0.40174067,,
1105,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.255836427,-0.298715085,0.404055476,,
1178,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.317002028,-0.298826516,0.405374944,,
1178,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.251182139,-0.300743252,0.400356859,,
1273,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.318791419,-0.293554634,0.392010599,,
1273,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.252705187,-0.300090492,0.402051687,,
1356,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.310529113,-0.287461638,0.377734244,,
1356,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.258372575,-0.298321366,0.403937131,,
1422,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.304356456,-0.285877496,0.374535441,,
1422,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.259763092,-0.298632681,0.405034304,,
1523,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.316662312,-0.284828097,0.37817955,,
1523,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.259144336,-0.299095184,0.40593347,,
1607,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.32273981,-0.285133928,0.375660539,,
1607,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.259420991,-0.299227536,0.406103671,,
1673,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.324101239,-0.281085938,0.372406811,,
1673,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.264158368,-0.298891842,0.407757103,,
1757,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.321718931,-0.280909747,0.375760466,,
1757,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.263524473,-0.299453884,0.408644736,,
1840,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.316988051,-0.28158623,0.379099995,,
1840,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.259850144,-0.300354004,0.407206297,,
1924,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.31185779,-0.282809615,0.378526956,,
1924,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.260390103,-0.29996109,0.406090319,,
2007,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.309122235,-0.286412328,0.376619875,,
2007,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.259951919,-0.299321979,0.403463632,,
2091,,,7/29/2022 15:54,EverydayTaskData,,,LeftControllerPosition,-0.312231809,-0.285569698,0.375225335,,
2091,,,7/29/2022 15:54,EverydayTaskData,,,RightControllerPosition,0.26106894,-0.299756885,0.40489313,,
